table_catalog,table_schema,table_name,table_type,self_referencing_column_name,reference_generation,user_defined_type_catalog,user_defined_type_schema,user_defined_type_name,is_insertable_into,is_typed,commit_action
adventureworks,information_schema,view_column_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,foreign_servers,VIEW,,,,,,NO,NO,
adventureworks,information_schema,view_routine_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,view_table_usage,VIEW,,,,,,NO,NO,
adventureworks,information_schema,_pg_foreign_tables,VIEW,,,,,,NO,NO,
adventureworks,information_schema,views,VIEW,,,,,,NO,NO,
adventureworks,information_schema,data_type_privileges,VIEW,,,,,,NO,NO,
adventureworks,information_schema,element_types,VIEW,,,,,,NO,NO,
adventureworks,information_schema,_pg_foreign_table_columns,VIEW,,,,,,NO,NO,
adventureworks,information_schema,foreign_table_options,VIEW,,,,,,NO,NO,
adventureworks,information_schema,column_options,VIEW,,,,,,NO,NO,
adventureworks,information_schema,_pg_foreign_data_wrappers,VIEW,,,,,,NO,NO,
adventureworks,information_schema,foreign_data_wrapper_options,VIEW,,,,,,NO,NO,
adventureworks,information_schema,foreign_data_wrappers,VIEW,,,,,,NO,NO,
adventureworks,information_schema,_pg_foreign_servers,VIEW,,,,,,NO,NO,
adventureworks,information_schema,foreign_tables,VIEW,,,,,,NO,NO,
adventureworks,information_schema,foreign_server_options,VIEW,,,,,,NO,NO,
adventureworks,information_schema,_pg_user_mappings,VIEW,,,,,,NO,NO,
adventureworks,production,productphoto,BASE TABLE,,,,,,YES,NO,
adventureworks,information_schema,user_mapping_options,VIEW,,,,,,NO,NO,
adventureworks,information_schema,user_mappings,VIEW,,,,,,NO,NO,
adventureworks,production,productmodelproductdescriptionculture,BASE TABLE,,,,,,YES,NO,
adventureworks,production,productmodelillustration,BASE TABLE,,,,,,YES,NO,
adventureworks,production,productproductphoto,BASE TABLE,,,,,,YES,NO,
adventureworks,production,productreview,BASE TABLE,,,,,,YES,NO,
adventureworks,production,unitmeasure,BASE TABLE,,,,,,YES,NO,
adventureworks,purchasing,purchaseorderheader,BASE TABLE,,,,,,YES,NO,
adventureworks,production,transactionhistoryarchive,BASE TABLE,,,,,,YES,NO,
adventureworks,purchasing,productvendor,BASE TABLE,,,,,,YES,NO,
adventureworks,purchasing,purchaseorderdetail,BASE TABLE,,,,,,YES,NO,
adventureworks,purchasing,shipmethod,BASE TABLE,,,,,,YES,NO,
adventureworks,production,transactionhistory,BASE TABLE,,,,,,YES,NO,
adventureworks,production,workorder,BASE TABLE,,,,,,YES,NO,
adventureworks,production,scrapreason,BASE TABLE,,,,,,YES,NO,
adventureworks,production,workorderrouting,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,countryregioncurrency,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,currency,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,currencyrate,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,salespersonquotahistory,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,creditcard,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,customer,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,personcreditcard,BASE TABLE,,,,,,YES,NO,
adventureworks,purchasing,vendor,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,salesorderheader,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,salesorderdetail,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,salesperson,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,salesorderheadersalesreason,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,store,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,salesterritory,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,salestaxrate,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,specialofferproduct,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,salesreason,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,salesterritoryhistory,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,shoppingcartitem,BASE TABLE,,,,,,YES,NO,
adventureworks,sales,specialoffer,BASE TABLE,,,,,,YES,NO,
adventureworks,production,productlistpricehistory,BASE TABLE,,,,,,YES,NO,
adventureworks,humanresources,vemployee,VIEW,,,,,,NO,NO,
adventureworks,person,vadditionalcontactinfo,VIEW,,,,,,NO,NO,
adventureworks,humanresources,vemployeedepartment,VIEW,,,,,,NO,NO,
adventureworks,humanresources,vemployeedepartmenthistory,VIEW,,,,,,NO,NO,
adventureworks,sales,vindividualcustomer,VIEW,,,,,,NO,NO,
adventureworks,sales,vpersondemographics,VIEW,,,,,,YES,NO,
adventureworks,humanresources,vjobcandidate,VIEW,,,,,,YES,NO,
adventureworks,humanresources,vjobcandidateemployment,VIEW,,,,,,NO,NO,
adventureworks,humanresources,vjobcandidateeducation,VIEW,,,,,,NO,NO,
adventureworks,sales,vstorewithdemographics,VIEW,,,,,,NO,NO,
adventureworks,production,vproductmodelcatalogdescription,VIEW,,,,,,YES,NO,
adventureworks,production,vproductmodelinstructions,VIEW,,,,,,NO,NO,
adventureworks,sales,vsalesperson,VIEW,,,,,,NO,NO,
adventureworks,sales,vsalespersonsalesbyfiscalyearsdata,VIEW,,,,,,NO,NO,
adventureworks,sales,vsalespersonsalesbyfiscalyears,VIEW,,,,,,NO,NO,
adventureworks,sales,vstorewithcontacts,VIEW,,,,,,NO,NO,
adventureworks,pe,bec,VIEW,,,,,,YES,NO,
adventureworks,sales,vstorewithaddresses,VIEW,,,,,,NO,NO,
adventureworks,purchasing,vvendorwithcontacts,VIEW,,,,,,NO,NO,
adventureworks,purchasing,vvendorwithaddresses,VIEW,,,,,,NO,NO,
adventureworks,pe,a,VIEW,,,,,,YES,NO,
adventureworks,pe,at,VIEW,,,,,,YES,NO,
adventureworks,pe,be,VIEW,,,,,,YES,NO,
adventureworks,pe,bea,VIEW,,,,,,YES,NO,
adventureworks,pe,ct,VIEW,,,,,,YES,NO,
adventureworks,pe,cr,VIEW,,,,,,YES,NO,
adventureworks,pe,e,VIEW,,,,,,YES,NO,
adventureworks,pe,pa,VIEW,,,,,,YES,NO,
adventureworks,pe,p,VIEW,,,,,,YES,NO,
adventureworks,pe,pp,VIEW,,,,,,YES,NO,
adventureworks,pe,pnt,VIEW,,,,,,YES,NO,
adventureworks,pe,sp,VIEW,,,,,,YES,NO,
adventureworks,hr,d,VIEW,,,,,,YES,NO,
adventureworks,hr,e,VIEW,,,,,,YES,NO,
adventureworks,hr,edh,VIEW,,,,,,YES,NO,
adventureworks,hr,eph,VIEW,,,,,,YES,NO,
adventureworks,hr,jc,VIEW,,,,,,YES,NO,
adventureworks,hr,s,VIEW,,,,,,YES,NO,
adventureworks,pr,bom,VIEW,,,,,,YES,NO,
adventureworks,pr,c,VIEW,,,,,,YES,NO,
adventureworks,pr,d,VIEW,,,,,,YES,NO,
adventureworks,pr,i,VIEW,,,,,,YES,NO,
adventureworks,pr,l,VIEW,,,,,,YES,NO,
adventureworks,pr,p,VIEW,,,,,,YES,NO,
adventureworks,pr,pc,VIEW,,,,,,YES,NO,
adventureworks,pr,pch,VIEW,,,,,,YES,NO,
adventureworks,pr,pd,VIEW,,,,,,YES,NO,
adventureworks,pr,pdoc,VIEW,,,,,,YES,NO,
adventureworks,pr,pi,VIEW,,,,,,YES,NO,
adventureworks,pr,plph,VIEW,,,,,,YES,NO,
adventureworks,pr,pm,VIEW,,,,,,YES,NO,
adventureworks,pr,pmi,VIEW,,,,,,YES,NO,
adventureworks,pr,pmpdc,VIEW,,,,,,YES,NO,
adventureworks,pr,pp,VIEW,,,,,,YES,NO,
adventureworks,pr,ppp,VIEW,,,,,,YES,NO,
adventureworks,pr,pr,VIEW,,,,,,YES,NO,
adventureworks,pr,psc,VIEW,,,,,,YES,NO,
adventureworks,pr,sr,VIEW,,,,,,YES,NO,
adventureworks,pr,th,VIEW,,,,,,YES,NO,
adventureworks,pr,tha,VIEW,,,,,,YES,NO,
adventureworks,pr,um,VIEW,,,,,,YES,NO,
adventureworks,pr,w,VIEW,,,,,,YES,NO,
adventureworks,pr,wr,VIEW,,,,,,YES,NO,
adventureworks,pu,pv,VIEW,,,,,,YES,NO,
adventureworks,pu,pod,VIEW,,,,,,YES,NO,
adventureworks,pu,poh,VIEW,,,,,,YES,NO,
adventureworks,pu,sm,VIEW,,,,,,YES,NO,
adventureworks,pu,v,VIEW,,,,,,YES,NO,
adventureworks,sa,crc,VIEW,,,,,,YES,NO,
adventureworks,sa,cc,VIEW,,,,,,YES,NO,
adventureworks,sa,cu,VIEW,,,,,,YES,NO,
adventureworks,sa,cr,VIEW,,,,,,YES,NO,
adventureworks,sa,c,VIEW,,,,,,YES,NO,
adventureworks,sa,pcc,VIEW,,,,,,YES,NO,
adventureworks,sa,sod,VIEW,,,,,,YES,NO,
adventureworks,sa,soh,VIEW,,,,,,YES,NO,
adventureworks,sa,sohsr,VIEW,,,,,,YES,NO,
adventureworks,sa,sp,VIEW,,,,,,YES,NO,
adventureworks,sa,spqh,VIEW,,,,,,YES,NO,
adventureworks,sa,sr,VIEW,,,,,,YES,NO,
adventureworks,sa,tr,VIEW,,,,,,YES,NO,
adventureworks,sa,st,VIEW,,,,,,YES,NO,
adventureworks,sa,sth,VIEW,,,,,,YES,NO,
adventureworks,sa,sci,VIEW,,,,,,YES,NO,
adventureworks,sa,so,VIEW,,,,,,YES,NO,
adventureworks,sa,sop,VIEW,,,,,,YES,NO,
adventureworks,sa,s,VIEW,,,,,,YES,NO,
